Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Status,Alternative Fuel Types,SOx Scrubber Status,Eco - Electronic Engine
Container,Zhong Gu Da Lian,"2,500",TEU,"40,526","28,433",Peoples' Republic of China,2018,6,Shanghai Shipyard,Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Ying Kou,"2,500",TEU,"40,526","28,433",Peoples' Republic of China,2018,7,Shanghai Shipyard,Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Ri Zhao,"2,500",TEU,"40,526","28,433",Peoples' Republic of China,2018,10,Shanghai Shipyard,Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Zhong Gu Xiong An,"2,500",TEU,"40,518","28,433",Peoples' Republic of China,2018,8,Shanghai Shipyard,Zhonggu Logistics,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ren Jian Zhu Hai,"2,400",TEU,"40,492","28,204",Peoples' Republic of China,2018,12,Xiamen Shipbuilding,Quanzhou Ansheng,In Service,,,Eco – Electronic Engine Modern
Container,Xin Ming Zhou 76,"2,400",TEU,"40,441","28,176",Peoples' Republic of China,2017,1,Bohai Shipbuilding,Zhejiang Seaport Grp,In Service,,,
Container,Xin Ming Zhou 72,"2,400",TEU,"40,422","28,176",Peoples' Republic of China,2016,7,Bohai Shipbuilding,Zhejiang Seaport Grp,In Service,,,
Container,Xin Ming Zhou 70,"2,400",TEU,"40,370","28,176",Peoples' Republic of China,2016,3,Bohai Shipbuilding,Zhejiang Seaport Grp,In Service,,,
Container,Wadi Alrayan,"2,986",TEU,"40,301","34,083",Egypt,2000,6,Daewoo (DSME),National Navigation,In Service,,,
Container,MSC Maria Pia,"2,800",TEU,"40,117","29,115",Panama,1997,9,Hyundai HI (Ulsan),MSC,In Service,,Fitted,
Container,Zhong Wai Yun Xin Gang,"2,800",TEU,"40,080","29,115",Peoples' Republic of China,1997,9,Hyundai HI (Ulsan),China Merchants,In Service,,,
Container,X-Press Kabru,"2,782",TEU,"40,000","31,700",Singapore,2018,12,Huangpu Wenchong,Sea Consortium,In Service,,,Eco – Electronic Engine Modern
Container,X-Press Kangchenjunga,"2,690",TEU,"39,977","28,014",Liberia,2008,3,TKMS Nordseewerke,Sea Consortium,In Service,,,
Container,Satie,"2,824",TEU,"39,960","28,616",Malta,2006,10,Hyundai Mipo,Borealis Maritime,In Service,,,
Container,Celsius Liverpool,"2,758",TEU,"39,947","35,878",Marshall Islands,2010,11,Guangzhou Wenchong,Celsius Shipping,In Service,,,Eco – Electronic Engine
Container,Cape Moss,"2,758",TEU,"39,947","35,878",Marshall Islands,2011,1,Guangzhou Wenchong,Schoeller Holdings,In Service,,,Eco – Electronic Engine
Container,Cape Male,"2,758",TEU,"39,947","35,878",Marshall Islands,2009,10,Guangzhou Wenchong,Schoeller Holdings,In Service,,,Eco – Electronic Engine
Container,Calandra,"2,796",TEU,"39,947","35,878",Antigua & Barbuda,2010,6,Guangzhou Wenchong,Buss Group,In Service,,,Eco – Electronic Engine
Container,Calidris,"2,796",TEU,"39,947","35,878",Marshall Islands,2012,2,Guangzhou Wenchong,Buss Group,In Service,,,Eco – Electronic Engine
Container,Log-In Endurance,"2,758",TEU,"39,947","35,878",Brazil,2011,4,Guangzhou Wenchong,Log-In Logistica,In Service,,,Eco – Electronic Engine
Container,Cape Manila,"2,758",TEU,"39,947","35,878",Marshall Islands,2011,8,Guangzhou Wenchong,Schoeller Holdings,In Service,,,Eco – Electronic Engine
Container,KMTC Ningbo,"2,778",TEU,"39,829","28,467",South Korea,2013,3,Hyundai Mipo,KMTC,In Service,,Fitted,Eco – Electronic Engine
Container,KMTC Shenzhen,"2,778",TEU,"39,829","28,467",South Korea,2013,6,Hyundai Mipo,KMTC,In Service,,Fitted,Eco – Electronic Engine
Container,Sine A,"2,824",TEU,"39,749","28,500",Malta,2008,6,Hyundai Mipo,Arkas Shipping,In Service,,,
Container,ACX Crystal,"2,858",TEU,"39,565","29,093",Panama,2008,9,STX SB (Jinhae),Nippon Yusen Kaisha,In Service,,,
Container,ACX Pearl,"2,858",TEU,"39,565","29,093",Liberia,2008,9,STX SB (Jinhae),Nippon Yusen Kaisha,In Service,,,
Container,ACX Diamond,"2,858",TEU,"39,565","29,093",Singapore,2008,5,STX SB (Jinhae),Nippon Yusen Kaisha,In Service,,,
Container,Hong Yuan 01,"2,480",TEU,"39,528","29,181",Peoples' Republic of China,1996,4,Flensburger SB,Hongyuan Marine,In Service,,,
Container,MSC Don Giovanni,"2,480",TEU,"39,528","29,181",Panama,1996,4,Flensburger SB,MSC,In Service,,,
Container,Maersk Jabal,"2,824",TEU,"39,479","27,910",Singapore,2008,3,Hyundai Mipo,A.P. Moller,In Service,,,
Container,AS California,"2,824",TEU,"39,446","28,340",Madeira,2008,5,Hyundai Mipo,MPC Group,In Service,,,
Container,GFS Pride,"2,824",TEU,"39,446","28,340",Singapore,2008,10,Hyundai Mipo,Simatech Shipping,In Service,,,
Container,Capt. Thanasis,"2,826",TEU,"39,421","27,789",Marshall Islands,2005,4,Hyundai Mipo,Technomar Shipping,In Service,,,
Container,Maersk Jalan,"2,826",TEU,"39,421","27,789",Singapore,2005,6,Hyundai Mipo,A.P. Moller,In Service,,,
Container,Iseaco Horizon,"2,826",TEU,"39,421","27,789",Singapore,2005,10,Hyundai Mipo,Iseaco Holdings Pte,In Service,,,
Container,AS Carelia,"2,826",TEU,"39,421","28,592",Madeira,2006,7,Hyundai Mipo,MPC Group,In Service,,,
Container,AS Cypria,"2,826",TEU,"39,421","28,592",Madeira,2006,6,Hyundai Mipo,MPC Group,In Service,,,
Container,Harmony N,"2,824",TEU,"39,421","27,789",Liberia,2006,9,Hyundai Mipo,Navios Holdings,In Service,,,
Container,Odysseus,"2,826",TEU,"39,421","27,789",Liberia,2006,9,Hyundai Mipo,Conbulk Shipping,In Service,,,
Container,KMTC Qingdao,"2,824",TEU,"39,421","27,779",South Korea,2003,10,Hyundai Mipo,KMTC,In Service,,,
Container,Thorstar,"2,824",TEU,"39,421","27,779",Liberia,2003,6,Hyundai Mipo,Thor Dahl Shipping,In Service,,,
Container,Cordelia,"2,824",TEU,"39,421","27,779",Liberia,2003,8,Hyundai Mipo,MPC Group,In Service,,,
Container,Cardonia,"2,824",TEU,"39,421","27,779",Liberia,2003,9,Hyundai Mipo,MPC Group,In Service,,,
Container,X-Press Euphrates,"2,826",TEU,"39,421","27,789",Singapore,2006,9,Hyundai Mipo,Sea Consortium,In Service,,,
Container,Coral Star,"2,826",TEU,"39,421","27,789",Cyprus,2006,11,Hyundai Mipo,Simatech Shipping,In Service,,,
Container,Cussler,"2,824",TEU,"39,420","28,927",Marshall Islands,2007,4,Hyundai Mipo,Conbulk Shipping,In Service,,,
Container,Irenes Reliance,"2,824",TEU,"39,418","28,592",Marshall Islands,2005,9,Hyundai Mipo,Tsakos Group,In Service,,,
Container,Nasia,"2,824",TEU,"39,418","27,779",Marshall Islands,2005,1,Hyundai Mipo,Technomar Shipping,In Service,,,
Container,KMTC Tianjin,"2,824",TEU,"39,418","27,779",South Korea,2005,6,Hyundai Mipo,KMTC,In Service,,,
Container,GSL Valerie,"2,824",TEU,"39,418","27,779",Liberia,2005,8,Hyundai Mipo,Global Ship Lease,In Service,,,
Container,Bomar Hamburg,"2,824",TEU,"39,418","28,500",Malta,2006,11,Hyundai Mipo,Borealis Maritime,Repairs,,,
Container,MSC Aditi,"2,824",TEU,"39,418","27,779",Liberia,2002,7,Hyundai Mipo,MSC,In Service,,Fitted,
Container,Maersk Jaipur,"2,824",TEU,"39,418","27,700",Malta,2008,9,Hyundai Mipo,Arkas Shipping,In Service,,,
Container,Carpathia,"2,824",TEU,"39,383","27,779",Liberia,2003,11,Hyundai Mipo,MPC Group,In Service,,,
Container,AS Carinthia,"2,824",TEU,"39,383","27,779",Liberia,2003,4,Hyundai Mipo,MPC Group,In Service,,,
Container,Abidjan Express,"2,824",TEU,"39,382","28,592",Malta,2006,12,Hyundai Mipo,Arkas Shipping,In Service,,,
Container,GFS Prestige,"2,824",TEU,"39,382","28,592",Singapore,2007,3,Hyundai Mipo,Global Feeder Shpg,In Service,,,
Container,Irenes Rainbow,"2,824",TEU,"39,382","28,592",Liberia,2006,4,Hyundai Mipo,Tsakos Group,In Service,,,
Container,MS Tiger,"2,824",TEU,"39,382","28,592",Marshall Islands,2006,8,Hyundai Mipo,Thomas Schulte,In Service,,,
Container,Irenes Remedy,"2,824",TEU,"39,382","28,592",Liberia,2005,2,Hyundai Mipo,Tsakos Group,In Service,,,
Container,Irenes Respect,"2,826",TEU,"39,359","27,789",Marshall Islands,2006,2,Hyundai Mipo,Tsakos Group,In Service,,,
Container,Cimbria,"2,824",TEU,"39,358","27,779",Liberia,2002,10,Hyundai Mipo,MPC Group,In Service,,,
Container,Colette,"2,732",TEU,"39,350","32,322",Marshall Islands,2002,5,Stocznia Gdansk,Borealis Maritime,In Service,,,
Container,Frisia Goteborg,"2,824",TEU,"39,345","27,779",Liberia,2006,11,Hyundai Mipo,Hartmann AG,In Service,,,
Container,Frisia Amsterdam,"2,824",TEU,"39,345","27,779",Liberia,2007,5,Hyundai Mipo,Hartmann AG,In Service,,,
Container,Frisia Oslo,"2,824",TEU,"39,345","27,779",Liberia,2007,11,Hyundai Mipo,Hartmann AG,In Service,,,
Container,Mozart,"2,824",TEU,"39,339","28,616",Liberia,2007,5,Hyundai Mipo,Borealis Maritime,Idle,,,
Container,Scio Sky,"2,750",TEU,"39,307","32,284",Liberia,2002,8,Stocznia Gdansk,Varship Shipping Co,Idle,,,
Container,MSC Tania,"2,732",TEU,"39,300","32,322",Liberia,2006,9,Stocznia Gdynia,MSC,In Service,,,
Container,KMTC Hochiminh,"2,824",TEU,"39,295","28,927",South Korea,2005,11,Hyundai Mipo,KMTC,In Service,,,
Container,Bomar Bellini,"2,824",TEU,"39,277","28,616",Malta,2007,10,Hyundai Mipo,Borealis Maritime,In Service,,,
Container,Irenes Rythm,"2,824",TEU,"39,277","28,616",Malta,2007,1,Hyundai Mipo,Tsakos Group,In Service,,,
Container,TRF Kaya,"2,824",TEU,"39,277","28,616",Liberia,2007,3,Hyundai Mipo,TRF,In Service,,Fitted,
Container,Delos Wave,"2,824",TEU,"39,277","28,616",Marshall Islands,2007,12,Hyundai Mipo,Nautical Carriers,In Service,,,
Container,Aldi Wave,"2,824",TEU,"39,277","28,616",Cyprus,2008,4,Hyundai Mipo,Nautical Carriers,In Service,,,
Container,Porto,"2,798",TEU,"39,268","28,561",Liberia,2010,1,Wadan Yards MTW,F. Laeisz,In Service,,,
Container,Saskia A,"2,824",TEU,"39,266","28,927",Turkey,2007,4,Hyundai Mipo,Arkas Shipping,In Service,,,
Container,AS Carolina,"2,824",TEU,"39,200","28,927",Madeira,2006,2,Hyundai Mipo,MPC Group,In Service,,Pending,
Container,AS Camellia,"2,824",TEU,"39,200","28,927",Madeira,2006,4,Hyundai Mipo,MPC Group,In Service,,Fitted,
Container,AS Clementina,"2,824",TEU,"39,200","28,927",Madeira,2006,6,Hyundai Mipo,MPC Group,In Service,,,
Container,Monaco,"2,824",TEU,"39,200","28,927",Liberia,2006,11,Hyundai Mipo,Zeaborn,In Service,,,
Container,Montpellier,"2,824",TEU,"39,200","28,927",Liberia,2006,12,Hyundai Mipo,Zeaborn,In Service,,,
Container,Martinique,"2,824",TEU,"39,200","28,927",Liberia,2007,1,Hyundai Mipo,Zeaborn,In Service,,,
Container,Hayling Island,"2,824",TEU,"39,200","28,927",Marshall Islands,2005,11,Hyundai Mipo,Borealis Maritime,In Service,,,
Container,Hammonia Baltica,"2,798",TEU,"39,164","28,561",Liberia,2011,5,Nordic Yards Wismar,Hammonia Reederei,In Service,,,
Container,Xin Bin Zhou,"2,708",TEU,"39,128","32,322",Peoples' Republic of China,1999,12,Stocznia Gdynia,Fujian Changan Shpg,Idle,,,
Container,Racha Bhum,"2,732",TEU,"39,100","32,124",Singapore,2008,9,Stocznia Gdynia,RCL,In Service,,Fitted,
Container,Log-In Resiliente,"2,714",TEU,"39,100","32,161",Brazil,2006,3,Stocznia Gdynia,Log-In Logistica,Idle,,,
Container,Ariana,"2,714",TEU,"39,100","32,161",Liberia,2006,6,Stocznia Gdynia,Peter Dohle,In Service,,,
Container,X-Press Makalu,"2,700",TEU,"39,100","32,322",Singapore,2008,3,Stocznia Gdynia,Sea Consortium,In Service,,,
Container,MSC Hannah,"2,732",TEU,"39,100","32,060",Panama,2006,3,Stocznia Gdynia,Hans Peterson,In Service,,Fitted,
Container,MSC Celine,"2,732",TEU,"39,089","32,060",Panama,2007,1,Stocznia Gdynia,Hans Peterson,In Service,,Fitted,
Container,Bomar Spring,"2,732",TEU,"39,063","32,200",Liberia,2006,8,Stocznia Gdynia,Borealis Maritime,In Service,,Fitted,
Container,Interasia Progress,"2,700",TEU,"39,008","32,322",Singapore,2005,10,Stocznia Gdynia,Wan Hai Lines,In Service,,,
Container,Hui Da 9,"2,400",TEU,"38,992","28,176",Peoples' Republic of China,2020,11,Taizhou Sanfu,Fujian Huihai Shpg,In Service,,,
Container,Hai Si 1,"2,400",TEU,"38,992","28,176",Peoples' Republic of China,2015,10,Taizhou Sanfu,Quanzhou Ansheng,In Service,,,
Container,Ci Tong 1,"2,400",TEU,"38,992","28,176",Peoples' Republic of China,2016,4,Taizhou Sanfu,Quanzhou Ansheng,In Service,,,
Container,Ren Jian Da Lian,"2,400",TEU,"38,992","28,176",Peoples' Republic of China,2018,10,Taizhou Sanfu,Quanzhou Ansheng,In Service,,,
Container,Sattha Bhum,"2,732",TEU,"38,948","32,322",Singapore,2009,6,Stocznia Gdynia,RCL,In Service,,Fitted,
Container,Kota Gaya,"2,800",TEU,"38,887","29,015",Hong Kong,2012,11,Hyundai Mipo,PIL,In Service,,,
Container,Kota Gabung,"2,800",TEU,"38,887","29,015",Hong Kong,2013,3,Hyundai Mipo,PIL,In Service,,,
Container,Kota Gadang,"2,800",TEU,"38,887","29,015",Singapore,2013,5,Hyundai Mipo,PIL,In Service,,,
Container,Kota Ganding,"2,800",TEU,"38,887","29,015",Singapore,2013,6,Hyundai Mipo,PIL,In Service,,,
Container,Victor,"2,650",TEU,"38,636","32,269",Liberia,2008,3,Stocznia Gdansk,Horst Zeppenfeld,In Service,,,
Container,Turkon Egypt,"2,837",TEU,"38,617","32,968",Turkey,2007,3,STX SB (Jinhae),Arkas Shipping,In Service,,,
Container,AS Clarita,"2,846",TEU,"38,608","32,968",Madeira,2006,5,STX SB (Jinhae),MPC Group,In Service,,,
Container,Emma A,"2,837",TEU,"38,547","32,968",Turkey,2007,4,STX SB (Jinhae),Arkas Shipping,In Service,,,
Container,Al Reem-I,"2,867",TEU,"38,500","32,968",United Arab Emirates,2006,7,STX SB (Jinhae),ADNOC,In Service,,,
Container,Manulani,"2,890",TEU,"38,261","32,575",United States,2005,5,Aker Philadelphia,Matson Inc,Idle,,Fitted,
Container,Maunawili,"2,890",TEU,"38,261","32,575",United States,2004,7,Aker Philadelphia,Matson Inc,In Service,,Fitted,
Container,Manukai,"2,890",TEU,"38,261","32,575",United States,2003,9,Aker Philadelphia,Matson Inc,In Service,,Fitted,
Container,Gisele A,"2,702",TEU,"38,133","27,915",Malta,2006,9,TKMS Nordseewerke,Arkas Shipping,In Service,,,
Container,Meratus Tomini,"2,702",TEU,"38,130","28,050",Indonesia,2007,11,TKMS Nordseewerke,Pelayaran Meratus,In Service,,,
Container,Segara Mas,"2,702",TEU,"38,122","27,915",Indonesia,2006,4,TKMS Nordseewerke,Temas Line,In Service,,,
Container,Sendang Mas,"2,702",TEU,"38,121","27,915",Indonesia,2005,5,Blohm + Voss SY,Temas Line,In Service,,,
Container,SITC Chulai,"2,702",TEU,"38,104","27,915",Panama,2005,9,TKMS Nordseewerke,SITC,In Service,,,
Container,SITC Ulsan,"2,702",TEU,"37,978","27,915",Panama,2004,12,TKMS Nordseewerke,SITC,In Service,,,
Container,Log-In Jacaranda,"2,700",TEU,"37,968","28,554",Brazil,2011,5,EISA - Estaleiro,Log-In Logistica,In Service,,,Eco – Electronic Engine
Container,Log-In Jatoba,"2,700",TEU,"37,968","28,554",Brazil,2011,11,EISA - Estaleiro,Log-In Logistica,In Service,,,Eco – Electronic Engine
Container,Pona,"2,741",TEU,"37,951","27,968",Liberia,2007,2,Aker Ostsee,F. Laeisz,In Service,,,
Container,Posen,"2,741",TEU,"37,951","27,968",Germany,2007,8,Aker Ostsee,F. Laeisz,In Service,,,
Container,X-Press Khyber,"2,702",TEU,"37,950","28,096",Liberia,2007,7,TKMS Nordseewerke,Sea Consortium,In Service,,,
Container,SITC Semarang,"2,702",TEU,"37,950","28,050",Panama,2007,8,Howaldtswerke Werft,SITC,In Service,,,
Container,Buxmelody,"2,700",TEU,"37,950","27,900",Liberia,2008,1,Howaldtswerke Werft,NSB Niederelbe,In Service,,,
Container,GH Bora,"2,702",TEU,"37,950","28,048",Marshall Islands,2009,4,Howaldtswerke Werft,Peter Dohle,In Service,,,
Container,GH Foehn,"2,702",TEU,"37,950","28,048",Marshall Islands,2008,6,Howaldtswerke Werft,Celsius Shipping,In Service,,,
Container,Lioba,"2,702",TEU,"37,950","28,048",Madeira,2008,9,Howaldtswerke Werft,Peter Dohle,In Service,,,
Container,Ariana A,"2,702",TEU,"37,950","27,915",Marshall Islands,2005,12,Blohm + Voss SY,Castor Maritime,In Service,,,
Container,Najade,"2,702",TEU,"37,950","27,915",Liberia,2007,4,TKMS Nordseewerke,GEBAB,In Service,,,
Container,SITC Surabaya,"2,741",TEU,"37,938","27,971",Hong Kong,2006,6,Aker Ostsee,SITC,In Service,,,
Container,Fred,"2,742",TEU,"37,938","28,007",Cyprus,2007,6,Aker Ostsee,Schoeller Holdings,In Service,,,
Container,Stadt Dresden,"2,742",TEU,"37,937","27,971",Madeira,2006,12,Aker Ostsee,MPC Group,In Service,,,
Container,GFS Pearl,"2,742",TEU,"37,934","27,971",Cyprus,2006,12,Aker Ostsee,Simatech Shipping,In Service,,,
Container,AS Columbia,"2,742",TEU,"37,929","27,971",Madeira,2006,10,Aker Ostsee,MPC Group,In Service,,,
Container,Cape Mayor,"2,741",TEU,"37,909","28,007",Marshall Islands,2007,9,Aker Ostsee,Schoeller Holdings,In Service,,,
Container,Protostar N,"2,742",TEU,"37,905","28,007",Cyprus,2007,4,Aker Ostsee,Navios Holdings,In Service,,,
Container,Jeju Island,"2,742",TEU,"37,883","27,786",Marshall Islands,2006,2,Aker Ostsee,Borealis Maritime,Repairs,,,
Container,AS Constantina,"2,741",TEU,"37,883","27,786",Madeira,2005,5,Aker Ostsee,MPC Group,In Service,,,
Container,Haydn,"2,742",TEU,"37,882","27,786",Madeira,2006,3,Aker Ostsee,Borealis Maritime,In Service,,,
Container,Cape Moreton,"2,742",TEU,"37,880","28,400",Marshall Islands,2005,9,Aker Ostsee,Wilhelmsen Ahrenkiel,In Service,,,
Container,Ever Bliss,"2,926",TEU,"37,872","32,659",Panama,2017,9,CSBC (Kaohsiung),Evergreen Marine,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Birth,"2,926",TEU,"37,872","32,659",Panama,2018,1,CSBC (Kaohsiung),Evergreen Marine,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Beady,"2,926",TEU,"37,872","32,659",Taiwan,2018,4,CSBC (Kaohsiung),Evergreen Marine,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Cape Martin,"2,742",TEU,"37,867","28,007",Cyprus,2007,1,Aker Ostsee,Schoeller Holdings,In Service,,,
Container,Maersk Patras,"2,890",TEU,"37,845","31,333",Singapore,1998,12,Warnowwerft,A.P. Moller,In Service,,,
Container,Maersk Penang,"2,902",TEU,"37,842","31,333",Liberia,1998,6,Warnowwerft,Conbulk Shipping,In Service,,,
Container,Maersk Palermo,"2,902",TEU,"37,842","31,333",Liberia,1998,3,Warnowwerft,Conbulk Shipping,In Service,,,
Container,X-Press Kailash,"2,741",TEU,"37,800","28,007",Singapore,2008,4,Aker Ostsee,Sea Consortium,In Service,,,
Container,X-Press Karakoram,"2,741",TEU,"37,800","28,007",Singapore,2008,6,Aker Ostsee,Sea Consortium,In Service,,,
